cycle,pm_arena_on,pm_arena_off
77,482.94140625,487.42578125
78,481.51171875,487.43359375
79,481.8515625,487.43359375
80,481.15625,486.86328125
81,481.62890625,485.71484375
82,481.19140625,485.12890625
83,481.32421875,484.5625
84,480.7578125,485.6953125
85,481.33984375,485.13671875
86,429.7109375,485.125
87,480.828125,485.40625
88,481.3984375,484.5625
89,480.37109375,485.12890625
90,479.34765625,485.6953125
91,479.34375,485.25
92,480.1640625,486.0234375
93,480.5390625,485.71484375
94,480.68359375,485.69921875
95,480.32421875,486.3203125
96,480.84375,486.07421875
97,484.10546875,486.07421875
98,483.81640625,486.64453125
99,480.93359375,485.765625
100,482.0390625,485.18359375
101,483.34765625,485.18359375
102,483.94140625,485.18359375
103,482.12890625,485.74609375
104,481.87109375,485.17578125
105,481.29296875,485.17578125
106,481.578125,485.17578125
107,482.16796875,485.74609375
108,483.9296875,485.19140625
109,485.05859375,429.67578125
110,485.05859375,485.42578125
111,484.03125,484.671875
112,483.70703125,484.17578125
113,484.26953125,485.01171875
114,484.3125,484.45703125
115,483.765625,484.45703125
116,484.3359375,485.02734375
117,485.21484375,485.59375
118,485.08984375,484.45703125
119,484.89453125,486.48046875
120,482.375,485.34375
121,482.37109375,485.80078125
122,480.984375,485.80078125
123,480.88671875,485.28125
124,427.8046875,485.33203125
125,478.54296875,485.765625
126,479.73828125,484.55859375
127,479.85546875,485.1328125
128,481.73828125,484.55859375
129,481.01953125,485.1328125
130,480.68359375,485.15234375
131,481.203125,485.20703125
132,482.30859375,484.61328125
133,482.11328125,484.61328125
134,480.796875,484.61328125
135,481.9609375,485.75390625
136,482.74609375,485.1796875
137,481.625,485.18359375
138,481.62890625,485.75
139,483.31640625,484.61328125
140,483.91015625,485.74609375
141,484.73828125,484.61328125
142,485.03125,484.61328125
143,483.54296875,484.61328125
144,484.40625,485.5
145,484.37109375,485.1953125
146,484.08203125,429.8828125
147,484.6015625,483.87109375
148,485.21875,484.48046875
149,485.01953125,484.48828125
150,484.734375,484.7734375
151,486.765625,484.7734375
152,485.484375,485.36328125
153,485.7734375,484.79296875
154,485.828125,484.87890625
155,486.390625,484.8359375
156,487.2734375,484.26953125
157,486.9609375,485.40625
158,487.5234375,484.26953125
159,488.08984375,484.83203125
160,488.08984375,484.83984375
161,487.93359375,485.109375
162,486.85546875,484.54296875
163,485.98828125,485.4296875
164,429.0390625,485.1171875
165,485.44140625,486.14453125
166,484.68359375,485.4375
167,484.89453125,485.75390625
168,484.8125,485.75390625
169,484.77734375,485.10546875
170,485.34765625,484.54296875
171,484.79296875,485.11328125
172,484.515625,485.2578125
173,485.08984375,486.2890625
174,485.05078125,485.14453125
175,484.96875,485.1640625
176,484.8828125,484.59375
177,484.46484375,484.59375
178,484.46484375,484.59375
179,484.13671875,484.59375
180,484.1328125,484.59375
181,484.1328125,484.59375
182,484.1328125,484.9140625
183,483.5625,486.046875
184,485.3359375,429.640625
185,483.6171875,485.1328125
186,484.18359375,485.62890625
187,483.8828125,484.875
188,484.515625,484.875
189,484.52734375,485.1484375
190,484.24609375,485.7109375
191,483.68359375,485.73046875
192,483.69140625,485.14453125
